"","SubjectID","age","gender","sspan.raw","ppvt.raw","wasi.vocab.raw","wasi.matr.raw","wasi.iq","wj3.watt.raw","wj3.wid.raw","wj3.rcomp.raw","wj3.oralcomp.raw","celf.rs.raw","celf.fs.raw","towre.w.ipm","towre.nw.ipm","wj3.rf.ipm","decoding.comp","handedness","vocab.comp"
"61",88,22.61,"Male",NA,218,41,22,101,32,74,39,31,93,53,133.33,74.67,"31.67",1.04711361635834,"right",0.839812607038043
"62",89,17.37,"Female",46,180,31,14,75,27,60,36,22,79,54,110.67,61.33,"19.33",-1.02953970807275,"right",-1.30328827977791
"63",90,20.57,"Female",33,192,33,22,95,22,67,36,NA,84,50,105.33,56,"24.67",-1.20868586419635,NA,-0.842878853890607
"64",91,21.92,"Female",35,188,34,21,95,27,69,35,26,72,54,117.33,61.33,"26",-0.524687502326545,"right",-0.863233824259265
"65",92,24.88,"Female",51,220,49,23,127,31,76,44,32,88,51,152.2,89.27,"38.68",1.6778336386708,"left",1.62927379628314
"66",94,22.08,"Female",42,219,47,23,119,30,74,39,32,91,54,154.5,76.36,"36.3",1.11149989000077,"right",1.40551860898031
"67",95,23.31,"Male",35,206,35,23,100,30,72,36,25,82,56,155.77,90,"38.4",1.28041932917695,"right",-0.208307493720558
"68",97,20.24,"Female",37,210,42,25,116,29,73,37,27,82,54,125.33,74.67,"32",0.345286889196289,"left",0.554340361606085
"69",98,22.16,"Male",27,190,35,17,89,28,63,35,22,55,52,106.67,66.67,"25.67",-0.780261477114471,"right",-0.725719602577586
"70",99,23.9,"Male",17,158,31,14,79,30,64,30,21,79,50,117.33,69.33,"28",-0.270166749079121,"right",-1.64421005628918
"71",100,18.07,"Female",45,193,41,26,122,29,66,38,25,95,55,133.33,83.59,"29.33",0.237370517184715,"right",-0.12856103909533
"72",102,19.4,"Male",45,215,39,25,113,30,75,40,30,93,55,113.33,72,"37.45",0.4009144124967,"right",0.521393476938481
"73",103,20.91,"Male",53,212,43,25,117,29,73,42,31,90,55,118.67,52,"27.33",-0.180545701525234,"right",0.726878878052746
"74",105,18.09,"Female",45,196,40,21,105,29,68,37,27,82,55,82.67,57.33,"35.71",-0.914603887103266,"right",-0.125506534127913
"75",108,21.86,"Female",23,153,31,20,89,26,55,36,21,70,54,89.33,21.33,"19.67",-2.12140289893886,"right",-1.6960543254061
"76",110,17.96,"Female",28,204,37,18,94,30,71,43,30,75,56,129.33,76,"23.33",0.435750714257567,"right",-0.112559735816238
"77",111,23.55,"Male",39,211,47,17,109,28,73,40,28,87,56,137.33,70.67,"28.33",0.349526567469013,"right",1.02606809969123
"78",112,23.62,"Male",39,204,42,25,116,31,70,42,28,84,54,117.33,65.33,"26.33",0.129924879578756,"right",0.31626385417897
"79",113,19.64,"Male",45,222,38,21,102,30,76,40,29,88,53,147.25,89.42,"36.15",1.42667865517557,"left",0.793713172386223
"80",115,22.14,"Male",26,NA,31,18,86,19,52,29,18,66,49,98.67,18.67,"22",-2.37568211994478,"left",-1.85212500514143
"81",117,22.02,"Female",41,223,50,23,129,28,74,42,30,92,54,181.24,78.04,"50.26",1.42874359457874,"right",1.87855369555424
