"","SubjectID","OC.LM1","OC.RLM1","PPVT.LM2","PPVT.RLM2","age","gender","sspan.raw","ppvt.raw","wasi.vocab.raw","wasi.matr.raw","wasi.iq","wj3.watt.raw","wj3.wid.raw","wj3.rcomp.raw","wj3.oralcomp.raw","celf.rs.raw","celf.fs.raw","towre.w.ipm","towre.nw.ipm","wj3.rf.ipm","decoding.comp","handedness","vocab.comp","sspan.tf","wasi.matr.tf","wasi.iq.tf","wj3.watt.tf","wj3.wid.tf","wj3.rcomp.tf","wj3.oralcomp.tf","celf.rs.tf","celf.fs.tf","towre.w.tf","towre.nw.tf","wj3.rf.tf","age.c","sspan.cs","wasi.matr.cs","wasi.iq.cs","wj3.watt.cs","wj3.wid.cs","wj3.rcomp.cs","wj3.oralcomp.cs","celf.rs.cs","celf.fs.cs","towre.w.cs","towre.nw.cs","wj3.rf.cs"
"11",22,"EPC","EPC","EPC","EPC",18.16,"Male",21,177,30,9,72,21,61,29,25,80,48,101.33,44,14.33,-1.74977900022723,"right",-1.44842333080054,-1.72267258892939,-2.3702327909135,-2.20233392693554,-1.88046564378137,-1.38915182077876,-1.99290751015998,-0.795074325874776,-0.56154345439125,-1.67397210897167,-1.02456928655305,-1.58312340248337,-2.03396766810481,-1.59878281622912,-1.84164331798641,-3.33588543216668,-2.02166809953953,-2.18401119730818,-1.407764330223,-2.22155616517402,-0.711167596722189,-0.326483748510847,-1.70057196525618,-0.987028401114534,-1.61589727595164,-1.70642025997303
"12",23,"NSC","UPC","EPC","EAC",16.85,"Female",38,187,35,20,91,22,67,35,28,86,52,126.67,72,28.33,-0.5818569709747,"right",-0.802392645319845,-0.190920173694672,-0.527612998317522,-0.847669435583581,-1.77567614423077,-0.543520643093917,-0.841074874503874,0.0983610789803018,0.102910410238195,-0.776371583828048,0.274378970813372,0.0502227679193768,0.0964146848117403,-2.90878281622912,-0.115834809399852,-0.387389029524618,-0.858516590215417,-1.88934858797011,-0.350997540779462,-0.799125002994691,0.195850343390509,0.258507648896888,-0.387966344784874,0.307832082835755,0.114029855705494,0.00343388493126557
"13",24,"UPC","UPC","UPC","UPC",24.85,"Male",44,195,39,20,100,32,75,36,23,87,54,141.82,96.32,22.67,1.75269467658634,"right",-0.241594319665762,0.455874706473175,-0.527612998317522,-0.26506643900764,1.58428105882695,1.22470370101385,-0.622082519145794,-1.29437370385504,0.229597766107407,0.0669387761394801,1.12673783984843,1.79955877141452,-0.657490295458545,5.09121718377088,0.493274075983639,-0.387389029524618,-0.307550085798732,1.05727750541068,1.05802484514526,-0.562053142631468,-1.31584622346399,0.35600621513151,0.268336465450779,1.08198900200887,1.6165951357734,-0.687835719365755
"14",25,"EPC","EPC","NSC","NSC",17.75,"Male",22,196,27,13,69,28,62,34,23,68,55,121.33,70.67,29,-0.518313252210534,"right",-1.24044786811545,-1.64622679645631,-1.92042967996396,-2.43507635670433,-0.448546366580239,-1.2710440630342,-1.05223057979554,-1.29437370385504,-1.47827710615693,0.640938222376512,-0.0128567030599824,-0.0370630242572242,0.178915884039403,-2.00878281622912,-1.74012517042249,-2.26370492211502,-2.20532360101176,-0.121372931941637,-1.23163653198241,-1.03619686335791,-1.31584622346399,-1.49646654332632,0.596487870568606,0.0349609311272092,0.0318583169517808,0.0852626190088283
"15",27,"NSC","NSC","NSC","NSC",23.71,"Male",53,222,52,25,128,32,76,45,34,95,53,148.57,96.92,39.73,1.97609358233346,"right",1.99441922437281,1.51785050002062,1.01868139115073,1.36844181263884,1.58428105882695,1.51074668234039,1.71220791790996,2.46602367951003,1.43047081828096,-0.399230700666065,1.52383011751701,1.84622885709828,1.35704215391228,3.95121718377088,1.40693740405888,0.952836608039957,1.40656792794207,1.05727750541068,1.23415264338584,1.57159360063753,2.0098862236159,1.13599474500849,-0.0598149396670472,1.42691040164046,1.65366500288034,1.39574368863905
"16",30,"UPC","UPC","UPC","UPC",18.44,"Female",43,198,41,23,110,29,69,34,27,89,50,122.67,77.33,22.33,0.0895167449108901,"right",0.0231231761473621,0.344563399400807,0.340499645878137,0.346543552258461,-0.0546451861840314,-0.179170573938824,-1.05223057979554,-0.21954000549557,0.497781445098861,-1.32413455511096,0.0585607606528155,0.409043802799406,-0.706510826727205,-1.31878281622912,0.391755928419724,0.416746353014127,0.304634919108697,0.173289677396441,0.00125805570171771,-1.03619686335791,-0.106488969980391,0.551003347600755,-1.04426915502053,0.103434216387406,0.443333841838798,-0.729360748599145
"17",31,"NSC","NSC","EAC","EAC",22.55,"Male",49,220,51,28,148,32,74,44,31,93,56,164.21,99.47,44.55,2.16783299421302,"right",1.80080323228123,1.03273722599909,2.19344115877033,2.40724362142305,1.58428105882695,0.954666834177817,1.41979784066822,1.17993866161485,1.09711603347462,1.34508990488873,2.48347735769919,2.04638305040722,1.81786815741423,2.79121718377088,1.00086481380321,1.7569719905787,2.63093793775693,1.05727750541068,0.881897046904666,1.33452174027431,1.10286828350321,0.940997612539245,0.924639275686433,2.22610605945351,1.81121193808483,1.98442204424181
"18",32,"EPC","EPC","EPC","EPC",20.23,"Male",32,165,33,15,84,27,62,33,20,74,52,122.67,60,22.67,-0.797829917406833,"right",-1.38594853598843,-0.785005929962515,-1.60646958787146,-1.32510276350442,-0.78133227313127,-1.2710440630342,-1.25561817852385,-1.91133348710321,-1.08064741389013,-0.776371583828048,0.0585607606528155,-0.703604462614291,-0.657490295458545,0.471217183770882,-0.724943694783343,-1.72761466708919,-1.28704609365062,-0.416035541279715,-1.23163653198241,-1.27326872372114,-2.22286416357669,-0.911475145918582,-0.387966344784874,0.103434216387406,-0.627367486433276,-0.687835719365755
"19",33,NA,NA,"EPC","EPC",19.13,"Female",26,162,35,20,96,24,64,29,NA,85,49,116,57.33,13,-1.08194637074404,"right",-1.25375454096559,-1.32224711353641,-0.527612998317522,-0.519954185053878,-1.48718177037573,-1.00887657777192,-1.99290751015998,NA,-0.01901303757345,-1.51898363956198,-0.292492669506716,-0.860710735502404,-2.29796701430077,-0.628782816229119,-1.33405258016683,-0.387389029524618,-0.552424087761703,-1.30002336929395,-0.87938093550123,-2.22155616517402,NA,0.161009082662265,-1.37242056013835,-0.237399225915215,-0.792328395059152,-1.86885640373893
"20",35,"EPC","EPC","EPC","EPC",21.55,"Female",17,180,32,9,74,11,53,35,23,79,48,98.67,16,16.67,-2.43855317121913,"right",-1.21752356177886,-2.00913027945625,-2.3702327909135,-2.05036999815661,-2.22068255183895,-2.07833596494716,-0.841074874503874,-1.29437370385504,-0.657479355324975,-1.67397210897167,-1.15123123411221,-2.71003429187417,-1.60488930672292,1.79121718377088,-2.24771590824207,-3.33588543216668,-1.89923109855805,-5.13063729068896,-2.81678671614772,-0.799125002994691,-1.31584622346399,-0.42398231474547,-1.70057196525618,-1.12295298230269,-3.34582440760877,-1.42063035289617
