"","SubjectID","composite1","handedness"
"160",208,0.93703055254876,"right"
"161",209,-0.648028179140767,"right"
"162",212,1.75155465830737,"right"
"163",214,0.282377815906365,"right"
"164",215,-0.493869765364502,"right"
"165",216,0.185473655416799,"right"
"166",217,-1.00650485713881,"right"
"167",218,1.1251830445266,"right"
"168",219,-0.182854096901867,"right"
"169",220,0.354805759279632,"right"
"170",221,0.251754210975095,"right"
"171",223,1.18958314622739,"right"
"172",224,-0.48642079680614,"right"
"173",225,0.568572401745303,"left"
"174",226,-0.0497282201523641,NA
"175",227,-0.785884629458343,"right"
"176",228,-0.257533614584842,"right"
"177",229,1.88559402388594,"right"
"178",230,0.133024764792681,"right"
"179",231,-0.424042495979387,"right"
"180",232,-0.293475065231613,"right"
"181",233,0.936123964082269,"right"
"182",234,-0.235489256365739,"left"
