SubjectID,G,age.tested,hand,sspan.raw,ppvt.raw,wasi.vocab.raw,wasi.matr.raw,wasi.iq,towre.w.ipm,towre.nw.ipm,wj3.watt.raw,wj3.oralcomp.raw,wj3.rcomp.raw,wj3.wid.raw,wj3.rf.ipm,celf.rs.raw,celf.fs.raw,ctopp2.rapid.naming.comp,Wasi.vocab.raw,wj3.rcomp.ss
108,Female,21.84,14,23,153,31,20,88,89.33,21.33,26,21,36,55,19.67,70,54,49,31,95
109,Female,21.17,,,,,,,,,,,,,,,,,,
111,Male,23.53,13,39,211,47,17,110,137.33,70.67,28,28,40,73,28.33,87,56,107,47,105
112,Male,23.60,9,39,204,42,25,118,117.33,65.33,31,28,42,70,26.33,84,54,88,42,110
113,Male,19.62,-14,45,222,38,21,102,147.25,89.42,30,29,40,76,36.15,88,53,119,38,107
114,Male,19.36,12,33,198,33,22,97,133.33,68.00,28,22,39,65,27.67,84,50,116,33,104
115,Male,22.12,-4,26,130,31,18,84,98.67,18.67,19,18,29,52,22.00,66,49,85,31,79
116,Male,18.65,15,,,,,,,,,,,,,,,107,,
117,Female,21.98,13,41,223,50,23,134,181.24,78.04,28,30,42,74,50.26,92,54,110,50,111
118,Male,21.31,15,43,216,39,19,98,137.33,74.67,28,31,43,74,37.45,90,56,110,39,115
119,Female,19.92,15,24,190,35,20,96,110.67,30.67,26,27,36,68,25.67,63,53,92,35,95
120,Female,21.57,19,41,200,37,20,97,137.33,83.92,28,31,36,71,36.00,94,55,107,37,95
121,Male,19.63,14,38,212,43,23,116,122.67,62.67,29,30,42,74,28.00,85,56,82,43,113
122,Female,23.20,24,45,209,44,27,132,112.00,72.00,30,31,41,72,38.43,96,54,95,44,108
123,Female,21.47,18,43,210,31,23,94,108.00,56.00,31,29,41,72,28.33,95,55,104,31,108
124,Male,20.37,14,43,213,39,23,106,151.13,77.33,32,27,44,73,32.00,95,55,116,39,119
125,Female,22.19,22,40,223,48,24,129,130.67,78.67,31,31,43,76,35.21,95,55,104,48,114
