subject,cohort,age,wj3.watt.raw,wj3.wid.raw,wasi.matr.raw,wj3.rcomp.ss,wasi.vocab.raw
12,a197,19.73716632,28,69,20,116,41
261,a197,24.86516085,29,69,20,94,35
153,a197,22.72142368,29,69,21,111,43
195,a197,22.11362081,29,69,21,100,41
30,a197,18.01779603,29,69,23,89,41
228,a197,20.6954141,29,69,24,115,30
4059,a40,18.75,29,69,25,98,39
169,a197,20.51471595,30,69,15,106,38
1082,a182,14.67,30,69,19,105,39
4030,a40,16.92,30,69,19,103,37
190,a197,21.61533196,30,69,23,108,34
4119,a40,17.83,30,69,26,108,40
106,a197,22.38740589,31,69,16,93,42
216,a197,16.93360712,31,69,20,93,40
1182,a182,22.67,31,69,20,108,37
191,a197,18.66666667,22,68,15,86,32
215,a197,22.31074606,24,68,18,79,39
227,a197,22.90485969,24,68,24,105,29
1091,a182,22.92,25,68,18,105,41
134,a197,21.15537303,25,68,20,103,41
1198,a182,21.75,25,68,25,105,44
119,a197,19.92060233,26,68,20,95,35
236,a197,19.93155373,26,68,23,92,33
1150,a182,20.67,27,68,21,98,40
4064,a40,15.42,27,68,24,105,39
4083,a40,15.33,27,68,25,132,43
4011,a40,18,28,68,18,105,27
69,a197,19.69883641,28,68,19,95,35
231,a197,16.82956879,28,68,20,100,38
251,a197,16.25462012,28,68,24,117,47
243,a197,18.64476386,28,68,24,107,37
51,a197,22.98151951,29,68,17,100,40
4088,a40,16.08,29,68,18,85,32
203,a197,20.90349076,29,68,20,124,43
105,a197,18.06707734,29,68,21,99,40
4132,a40,15.83,29,68,25,95,31
4022,a40,15.33,30,68,15,101,35
4057,a40,18.17,30,68,20,96,39
4134,a40,16.08,30,68,24,94,34
1108,a182,16.25,30,68,25,124,42
15,a197,19.07186858,31,68,17,87,28
1189,a182,21.5,31,68,18,100,38
4167,a40,18,31,68,19,102,48
4050,a40,17.58,31,68,20,99,41
1120,a182,22.25,31,68,20,100,31
1022,a182,21.33,31,68,22,95,40
1140,a182,20.33,31,68,23,112,41
4090,a40,18.67,32,68,21,92,36
23,a197,16.60232717,22,67,20,94,35
90,a197,20.50924025,22,67,22,95,33
240,a197,20.96098563,26,67,17,80,28
4075,a40,14.67,26,67,20,90,32
1163,a182,22,26,67,21,108,39
209,a197,22.40657084,27,67,22,97,40
71,a197,23.40041068,28,67,18,107,39
66,a197,24.8843258,28,67,18,94,32
241,a197,23.3045859,29,67,19,107,36
4155,a40,15.25,29,67,20,108,36
176,a197,22.95140315,29,67,22,97,39
1174,a182,19.08,29,67,22,98,38
82,a197,19.1430527,30,67,20,98,38
141,a197,17.07871321,30,67,20,100,36
4165,a40,16.25,30,67,20,91,32
4091,a40,16.17,30,67,22,91,35
1183,a182,16.67,30,67,24,115,39
18,a197,21.82888433,30,67,27,95,34
4126,a40,18.25,31,67,17,83,39
1092,a182,17.92,22,66,21,108,38
1197,a182,15.75,22,66,23,98,32
4070,a40,17.25,24,66,21,83,27
201,a197,22.85010267,25,66,16,100,35
181,a197,17.16906229,26,66,12,100,32
4004,a40,14.17,26,66,18,114,34
4123,a40,16.25,26,66,24,84,37
4078,a40,13.75,28,66,14,90,36
148,a197,21.70568104,28,66,18,93,39
1176,a182,21.75,28,66,21,98,39
232,a197,20.183436,28,66,21,103,33
1085,a182,18.75,28,66,22,107,44
4125,a40,18.33,29,66,19,77,33
4037,a40,13.25,29,66,20,94,40
4052,a40,19.67,29,66,22,98,37
100,a197,18.05612594,29,66,26,102,41
75,a197,18.26146475,30,66,21,93,30
4048,a40,18.25,30,66,23,86,37
1203,a182,15.08,31,66,24,102,37
252,a197,24.21902806,19,65,23,93,36
262,a197,19.25530459,26,65,20,98,39
20,a197,20.06023272,26,65,20,90,26
43,a197,18.84462697,27,65,17,86,33
4114,a40,17.67,27,65,18,102,32
1004,a182,17.25,27,65,24,93,32
47,a197,19.44421629,28,65,18,92,26
114,a197,19.36481862,28,65,22,104,33
86,a197,21.62628337,28,65,22,88,25
4124,a40,14.08,28,65,23,98,38
42,a197,20.97467488,29,65,23,85,29
4159,a40,17.17,30,65,18,87,32
34,a197,19.15674196,30,65,20,78,38
4016,a40,15.92,31,65,19,101,38
4041,a40,13.75,31,65,26,123,41
1040,a182,23.08,22,64,16,85,29
4023,a40,13.92,24,64,13,98,35
33,a197,19.00889802,24,64,20,75,35
1054,a182,18.42,25,64,20,89,34
1095,a182,18.5,26,64,20,86,34
72,a197,21.32238193,26,64,20,95,31
4130,a40,15.83,27,64,17,88,29
4085,a40,18.08,27,64,18,96,32
1035,a182,17.42,28,64,24,105,38
45,a197,21.58795346,28,64,24,97,28
1206,a182,15.42,29,64,20,99,35
99,a197,23.88227242,30,64,14,84,31
1103,a182,14.17,31,64,24,111,34
1124,a182,16.75,19,63,26,97,34
4063,a40,18.25,23,63,22,86,35
40,a197,16.26283368,24,63,15,84,28
1087,a182,16.5,24,63,16,90,34
1199,a182,15.92,24,63,22,95,36
1119,a182,19.08,24,63,24,101,37
4055,a40,17.5,26,63,18,86,30
154,a197,16.6899384,27,63,16,91,39
4151,a40,15.25,28,63,13,86,33
1178,a182,22.67,28,63,15,93,32
98,a197,22.14647502,28,63,17,93,35
62,a197,18.4312115,28,63,18,96,35
263,a197,16.49555099,30,63,18,103,31
1161,a182,21.58,31,63,23,100,37
76,a197,18.13278576,32,63,16,83,25
1160,a182,20.42,22,62,26,95,37
1188,a182,15.42,23,62,26,99,34
264,a197,16.49555099,24,62,21,96,34
1168,a182,20.25,26,62,20,84,35
32,a197,19.77275838,27,62,15,87,33
4045,a40,15.92,27,62,15,98,29
4157,a40,14.42,27,62,23,88,35
224,a197,21.87542779,28,62,13,79,31
25,a197,17.39904175,28,62,13,90,27
266,a197,24.93086927,28,62,21,95,30
242,a197,20.07939767,30,62,21,87,33
22,a197,17.60438056,21,61,9,74,30
204,a197,22.17659138,21,61,19,95,35
1020,a182,18.08,22,61,20,89,34
260,a197,22.81998631,24,61,18,97,39
4026,a40,17,24,61,18,77,32
217,a197,23.21423682,25,61,17,97,35
1106,a182,18.58,26,61,19,89,40
4036,a40,17.33,27,61,18,80,33
4047,a40,16.83,27,61,21,100,41
78,a197,19.63039014,28,61,16,78,24
1096,a182,18.25,28,61,18,89,30
1058,a182,17.58,29,61,20,105,28
1210,a182,16,22,60,18,88,32
1125,a182,16.75,22,60,22,95,33
248,a197,23.52908966,23,60,15,93,36
1104,a182,17.58,24,60,17,96,30
1059,a182,15,25,60,15,80,23
81,a197,19.33470226,26,60,16,95,34
180,a197,18.95140315,26,60,19,86,33
4042,a40,17.83,27,60,14,96,31
1099,a182,17.5,27,60,18,83,25
17,a197,19.17590691,27,60,25,101,33
1100,a182,18.08,28,60,21,108,37
1005,a182,17.83,28,60,25,93,41
163,a197,21.65366188,17,59,18,95,37
84,a197,20.8733744,19,59,13,95,27
244,a197,19.29637235,17,58,13,65,27
202,a197,22.83093771,20,58,20,80,36
254,a197,24.45995893,25,58,16,92,33
155,a197,20.37782341,19,57,7,92,28
171,a197,21.85352498,23,57,15,86,30
1191,a182,15.83,26,57,19,76,32
166,a197,24.14784394,15,56,20,91,32
80,a197,20.43258042,16,55,16,77,30
1154,a182,20.67,18,55,18,87,33
249,a197,19.49897331,18,55,22,101,38
108,a197,21.84257358,26,55,20,95,31
35,a197,21.29774127,11,53,9,93,32
115,a197,22.12457221,19,52,18,79,31
4012,a40,14.08,18,49,18,98,37
210,a197,24.06023272,9,45,6,77,27
39,a197,17.89459274,10,45,17,83,29
1006,a182,13.5,16,41,17,73,25
