subject,cohort,age,wj3.watt.raw,wj3.wid.raw,wasi.matr.raw,wj3.rcomp.ss,wasi.vocab.raw,sspan.raw
4122,a40,15.33,28,73,23,118,38,32
4124,a40,14.08,28,65,23,98,38,34
4158,a40,15.67,32,70,19,101,38,46
1007,a182,22.92,31,70,22,102,38,57
1035,a182,17.42,28,64,24,105,38,31
1092,a182,17.92,22,66,21,108,38,40
1094,a182,19.75,31,72,21,104,38,35
1098,a182,18.92,32,73,24,107,38,39
1174,a182,19.08,29,67,22,98,38,39
1180,a182,18.5,25,70,20,92,38,34
1189,a182,21.5,31,68,18,100,38,46
1209,a182,14.83,29,70,26,109,38,43
54,a197,23.54551677,32,73,21,105,37,36
73,a197,21.97672827,31,72,18,100,37,46
120,a197,21.5742642,28,71,20,95,37,41
158,a197,20.69267625,27,69,23,103,37,42
163,a197,21.65366188,17,59,18,95,37,21
165,a197,23.91786448,30,74,26,117,37,48
226,a197,21.52772074,30,74,18,95,37,44
233,a197,21.46201232,30,74,20,105,37,37
243,a197,18.64476386,28,68,24,107,37,44
4010,a40,18.17,30,71,22,96,37,37
4012,a40,14.08,18,49,18,98,37,30
4030,a40,16.92,30,69,19,103,37,30
4048,a40,18.25,30,66,23,86,37,34
4052,a40,19.67,29,66,22,98,37,38
4076,a40,18.33,30,71,18,118,37,28
4123,a40,16.25,26,66,24,84,37,36
4142,a40,16.33,30,73,19,91,37,39
4148,a40,17.42,30,74,24,99,37,43
1013,a182,21.67,29,73,25,105,37,41
1038,a182,20.58,28,73,23,112,37,50
1100,a182,18.08,28,60,21,108,37,33
1119,a182,19.08,24,63,24,101,37,33
1160,a182,20.42,22,62,26,95,37,51
1161,a182,21.58,31,63,23,100,37,36
68,a197,22.75975359,31,72,23,100,36,38
70,a197,24.88706366,30,70,19,90,36,32
141,a197,17.07871321,30,67,20,100,36,11
178,a197,16.02737851,31,74,22,125,36,37
202,a197,22.83093771,20,58,20,80,36,37
234,a197,20.1615332,31,70,15,116,36,33
241,a197,23.3045859,29,67,19,107,36,46
248,a197,23.52908966,23,60,15,93,36,37
252,a197,24.21902806,19,65,23,93,36,39
4056,a40,18.67,30,70,23,95,36,34
4078,a40,13.75,28,66,14,90,36,35
