subject,cohort,age,sspan.raw,ppvt.raw,wasi.matr.raw,wasi.iq,wj3.watt.raw,wj3.wid.raw,wj3.rcomp.raw,wj3.rcomp.ss,wasi.vocab.raw
76,a197,18.13278576,-0.157447351,-2.360978572,-1.34466188,-2.086392769,0.956183576,-1.043615708,32,83,25
77,a197,24.06570842,-0.13470754,-0.190287825,-0.319047618,-0.720403902,-1.085221238,0.678619309,36,95,38
78,a197,19.63039014,-0.171091237,-2.516027911,-1.34466188,-1.867834551,-0.064518831,-1.388062711,30,78,24
79,a197,20.62970568,-0.061940144,-0.241970938,-0.062644053,-0.010089691,0.445832372,0.506395808,39,103,41
80,a197,20.43258042,-0.007364598,-1.740781216,-1.34466188,-1.430718113,-3.126626051,-2.421403722,29,77,30
81,a197,19.33470226,-0.125611615,-1.482365651,-1.34466188,-1.04824123,-0.574870034,-1.560286213,36,95,34
82,a197,19.1430527,-0.05284422,-0.44870339,-0.319047618,-0.283287464,0.445832372,-0.354721701,37,98,38
83,a197,23.60301164,-0.034652371,0.946740661,0.962970209,0.91878274,0.445832372,1.023066313,43,113,44
84,a197,20.8733744,-0.121063653,-1.017217633,-2.113872576,-1.97711366,-2.361099246,-1.732509715,36,95,27
85,a197,21.7303217,-0.066488107,0.481592644,-0.062644053,0.427026747,0.445832372,0.850842811,38,100,45
86,a197,21.62628337,-0.066488107,-1.585731877,0.193759513,-1.157520339,-0.064518831,-0.699168705,33,88,25
87,a197,22.54893908,-0.007364598,0.688325096,1.47577734,0.973422294,-0.830045636,-0.010274698,43,114,39
90,a197,20.50924025,-0.080131993,-0.397020277,0.193759513,-0.556485238,-1.595572441,-0.354721701,36,95,33
91,a197,21.88364134,-0.071036069,-0.603752729,-0.062644053,-0.556485238,-0.319694433,-0.010274698,35,93,34
92,a197,24.862423,0.001731327,1.050106887,0.450163078,1.410538732,0.701007974,1.195289815,44,117,49
94,a197,22.03969884,-0.039200333,0.998423774,0.450163078,0.91878274,0.445832372,0.850842811,39,102,47
95,a197,23.2881588,-0.071036069,0.326543305,0.450163078,-0.283287464,0.445832372,0.506395808,36,95,35
97,a197,20.21902806,-0.061940144,0.533275757,0.962970209,0.700224521,0.190656771,0.678619309,37,98,42
