"","SubjectID","age.tested","age.tested.c","towre.w.ipm","towre.w.ipm.cs","towre.nw.ipm","towre.nw.ipm.t","wj3.wid.raw","wj3.wid.t","wj3.watt.raw","wj3.watt.t","ppvt.raw","ppvt.t","wasi.matr.raw","wasi.matr.t","ktea2.raw","ktea2.t","wj3.rcomp.raw","wj3.rcomp.t","decode","decode.cs","Pred","stdPred","resid","CI_group"
"59","83",23.83,-1.483914591,138.67,0.221412828,89.6,0.329039454,75,-1.10178426,30,-0.035776103,218,-1.777075657,25,-0.738283726,87.71698113,-0.968182764,43,-0.755508785,-0.14677702,-0.169942112,-1.25418607353651,-1.4074888898383,0.28600330953651,"EPC"
"62","86",21.64,-2.233914591,118.67,-0.499151524,56,-0.44592234,65,-1.229160995,28,-0.339824306,169,-2.109863563,22,-0.738283726,70.16981132,-0.810460226,33,-1.16894812,-0.628514791,-0.727710173,-1.60181394518654,-1.79760832862218,0.791353719186541,"EPC"
"64","88",22.61,-1.773914591,133.33,0.581154851,74.67,0.491533654,74,0.5444753,32,0.682542295,218,0.330096252,22,-0.738283726,84.75471698,0.234823476,39,1.40778337,0.574926525,0.665664335,0.181573139372354,0.2037673529657,0.0532503366276472,"EAC"
"65","89",17.37,4.016085409,110.67,1.434056735,61.33,0.573339531,60,1.663562087,27,0.682542295,180,0.698266199,14,0.591254207,66,0.943056631,36,0.884210536,1.088375162,1.260148032,0.914091306254742,1.02582334866803,0.0289653247452611,"EAC"
"66","90",20.5,-5.563914591,105.33,-0.570991898,56,-0.21994689,67,-0.681836275,22,1.102549013,192,-0.132142974,22,0.904086171,78,-0.081489395,36,0.385124145,-0.092556513,-0.107164249,-0.151220763051413,-0.169704917333038,0.0697313680514128,"EAC"
"67","91",21.92,-2.153914591,117.33,-0.967464338,61.33,-0.415757535,69,-1.229160995,27,-1.063496366,188,-1.316357789,21,-0.958524173,76.22641509,-1.092082561,35,-0.317608215,-0.918969809,-1.064006269,-1.23253532003006,-1.38319170167818,0.140452759030059,"EPC"
"69","93",16.17,-3.483914591,113.43,-1.003114448,67.91,0.573339531,66,-0.026231123,27,0.682542295,200,1.10054546,24,1.232951274,77.50943396,1.614725431,37,1.678754225,0.056634064,0.065572338,0.738335999853144,0.828584959320165,0.876389431146856,"UGC"
"71","95",23.31,-1.563914591,155.77,-0.210709722,90,0.16949459,72,-1.229160995,30,-1.41322975,206,-0.794952093,23,-0.738283726,81.22641509,-0.762545288,36,-0.755508785,-0.670901469,-0.77678653,-0.805967182891478,-0.904482898860669,0.043421894891477,"EAC"
"73","97",20.24,-0.653914591,125.33,-0.642832272,74.67,-0.519754225,73,-0.828317379,29,-1.063496366,210,1.359219943,25,0.904086171,84.28301887,-0.728042869,37,0.14476127,-0.763600061,-0.884115282,0.724078169567256,0.812584352915953,-1.45212103856726,"UPC"
"74","98",22.16,3.886085409,106.67,-0.067028974,66.67,-0.143532136,63,0.346288694,28,1.102549013,190,0.330096252,17,1.232951274,69.01886792,0.661359501,35,1.142935739,0.309569149,0.358426917,0.581555033503618,0.652640198867109,0.0798044674963834,"EAC"
"76","100",18.07,-2.983914591,133.33,-1.291016097,83.59,-1.154657797,66,-1.229160995,29,-1.41322975,193,-0.694976298,26,0.294292934,75.77358491,-0.728042869,38,-0.539616645,-1.27201616,-1.47277218,-0.797861473187514,-0.895386404653671,0.0698186041875119,"EAC"
"78","102",19.4,-0.733914591,113.33,-0.570991898,72,0.248971844,75,0.5444753,30,1.567141763,215,1.271509916,25,0.591254207,85.98113208,0.943056631,40,1.142935739,0.447399252,0.518010064,0.937206211208402,1.05176365577075,0.00585041979159946,"EAC"
"81","106",22.65,-0.093914591,121.33,1.549109364,69.33,1.342272337,69,1.663562087,31,0.682542295,193,1.820803717,16,0.013034742,73.75471698,1.393505539,35,0.63160695,1.309371521,1.516023153,1.42509662400084,1.59929033458157,-0.0315910850008374,"EAC"
"83","110",17.96,2.266085409,129.33,0.077191927,76,-0.44592234,71,0.346288694,30,-1.782380296,204,0.401106703,18,-0.738283726,78,1.071302565,43,-0.317608215,-0.451205504,-0.522417037,0.0887173831318664,0.0995615672200162,0.982585181868134,"UGC"
"84","111",23.55,-4.733914591,137.33,-0.138869348,70.67,-0.665955136,73,-1.350555732,28,-1.41322975,211,-0.694976298,17,-0.252693548,83.26415094,0.234823476,40,-0.539616645,-0.892152492,-1.032956507,-0.835369517722079,-0.937479166704801,1.07019299372208,"UGC"
"85","112",23.62,2.936085409,117.33,-0.138869348,65.33,0.090023366,70,-1.10178426,31,-0.851164447,204,-0.643481659,25,-0.738283726,81.71698113,-0.600697062,42,-0.539616645,-0.500448672,-0.579432011,-0.526185595364798,-0.59050279309443,-0.0745114666352017,"EAC"
"86","113",19.64,-0.353914591,147.25,0.797216126,89.42,0.011751027,76,-0.528591259,30,-0.035776103,222,-0.069725257,21,0.294292934,87.41509434,-0.555921765,40,0.385124145,0.061149948,0.070800942,0.00547549327943518,0.00614477874906059,-0.561397258279435,"UPC"
"89","117",22.02,2.266085409,181.24,0.581154851,78.04,0.656333036,74,0.965801985,28,1.567141763,223,0.854960526,23,1.232951274,86.26415094,1.474234252,42,0.63160695,0.942607909,1.091375054,1.00657087794737,1.12960696773303,0.467663374052632,"UGC"
"91","119",19.96,2.406085409,110.67,-1.074954822,30.67,-2.372277359,68,-2.048266832,26,-1.782380296,190,-2.356363166,20,-0.738283726,76.67924528,-1.847545109,36,-1.74326023,-1.819469827,-2.106627753,-1.90757572128894,-2.14074425707477,0.0600306122889429,"EPC"
"92","120",21.58,0.936085409,137.33,-1.074954822,83.92,0.090023366,71,-0.026231123,28,-0.339824306,200,0.775922446,20,0.013034742,78.90566038,1.614725431,36,-0.089482551,-0.337746721,-0.391051616,0.408010381292508,0.45788267840943,1.20671504970749,"UGC"
"94","122",23.2,0.266085409,112,-1.219175723,72,-0.737758241,72,-0.968234398,30,-0.035776103,209,-1.564643231,27,0.013034742,82.8490566,-1.390540533,41,-1.74326023,-0.740236116,-0.857063922,-1.11546594529095,-1.25181259632849,-0.275074587709047,"EPC"
