"","SubjectID","age.tested","age.tested.c","towre.w.ipm","towre.w.ipm.cs","towre.nw.ipm","towre.nw.ipm.t","wj3.wid.raw","wj3.wid.t","wj3.watt.raw","wj3.watt.t","ppvt.raw","ppvt.t","wasi.matr.raw","wasi.matr.t","ktea2.raw","ktea2.t","wj3.rcomp.raw","wj3.rcomp.t","decode","decode.cs","Pred","stdPred","resid","CI_group"
"65","89",17.37,4.016085409,110.67,1.434056735,61.33,0.573339531,60,1.663562087,27,0.682542295,180,0.698266199,14,0.591254207,66,0.943056631,36,0.884210536,1.088375162,1.260148032,0.816753469925438,0.997378166335857,0.0674570660745632,"EAC"
"67","91",21.92,-2.153914591,117.33,-0.967464338,61.33,-0.415757535,69,-1.229160995,27,-1.063496366,188,-1.316357789,21,-0.958524173,76.22641509,-1.092082561,35,-0.317608215,-0.918969809,-1.064006269,-1.11083333225058,-1.35649367048592,0.793225117250579,"EPC"
"68","92",24.88,-1.153914591,152.2,-0.354930623,89.27,-0.143532136,76,-1.10178426,31,-0.610761311,220,-0.843462206,23,-0.503071129,87.71698113,-0.373853223,44,-0.755508785,-0.552752083,-0.63999021,-0.680823387881862,-0.831387202408744,-0.074685397118138,"EAC"
"69","93",16.17,-3.483914591,113.43,-1.003114448,67.91,0.573339531,66,-0.026231123,27,0.682542295,200,1.10054546,24,1.232951274,77.50943396,1.614725431,37,1.678754225,0.056634064,0.065572338,0.712194601002401,0.86969614622136,0.966559623997598,"UGC"
"70","94",22.08,3.816085409,154.5,1.013277401,76.36,0.16949459,74,0.965801985,30,-0.035776103,219,0.854960526,23,-0.958524173,83.43396226,0.85058852,39,0.63160695,0.528199468,0.611562578,0.494415892058377,0.60375576467068,0.137191057941625,"EAC"
"71","95",23.31,-1.563914591,155.77,-0.210709722,90,0.16949459,72,-1.229160995,30,-1.41322975,206,-0.794952093,23,-0.738283726,81.22641509,-0.762545288,36,-0.755508785,-0.670901469,-0.77678653,-0.732450911934914,-0.894432132336741,-0.0230578730650858,"EAC"
"72","96",24.55,2.096085409,121.33,0.869596654,46.67,0.491533654,60,1.421900249,22,1.567141763,180,1.539189492,20,1.578007153,66.35849057,1.614725431,34,2.528413821,1.08754308,1.259184626,1.36688884644559,1.66917575686111,1.16152497455441,"UGC"
"74","98",22.16,3.886085409,106.67,-0.067028974,66.67,-0.143532136,63,0.346288694,28,1.102549013,190,0.330096252,17,1.232951274,69.01886792,0.661359501,35,1.142935739,0.309569149,0.358426917,0.506743262751553,0.618809328361805,0.636192476248447,"UGC"
"77","101",24.35,3.766085409,108,1.085657929,29.33,0.992026858,48,1.421900249,0,1.567141763,184,1.631487019,19,0.294292934,63.62264151,1.758364907,27,2.528413821,1.2666817,1.466595808,1.29137042142456,1.57695646296604,1.23704339957544,"UGC"
"79","103",20.91,-1.313914591,118.67,0.221412828,52,-0.295729157,73,0.346288694,29,-0.035776103,212,0.854960526,25,1.578007153,85.32075472,0.817785013,42,0.63160695,0.059049066,0.068368487,0.675282199918521,0.824620582701871,-0.0436752499185223,"EAC"
"80","105",18.09,2.936085409,82.67,-3.019506298,57.33,-0.879800747,68,1.663562087,29,1.102549013,196,1.185291298,21,0.904086171,76.32075472,1.071302565,37,1.678754225,-0.283298986,-0.328010664,0.707626319302313,0.864117590887631,0.971127905697686,"UGC"
"81","106",22.65,-0.093914591,121.33,1.549109364,69.33,1.342272337,69,1.663562087,31,0.682542295,193,1.820803717,16,0.013034742,73.75471698,1.393505539,35,0.63160695,1.309371521,1.516023153,1.29614163165839,1.58278282439593,-0.664534681658386,"UPC"
"82","108",21.86,-4.983914591,89.33,-1.074954822,21.33,0.853660502,55,-0.968234398,26,-0.851164447,153,-0.794952093,20,-0.252693548,55.86792453,-0.498619417,36,-0.539616645,-0.510173291,-0.590691419,-0.664724664613026,-0.811728253058955,0.125108019613026,"EAC"
"85","112",23.62,2.936085409,117.33,-0.138869348,65.33,0.090023366,70,-1.10178426,31,-0.851164447,204,-0.643481659,25,-0.738283726,81.71698113,-0.600697062,42,-0.539616645,-0.500448672,-0.579432011,-0.537450555217299,-0.656307526311409,-0.00216608978270038,"EAC"
"87","114",19.38,0.596085409,133.33,0.581154851,68,0.656333036,65,-0.026231123,28,1.102549013,198,0.260363295,22,0.591254207,70,0.817785013,39,1.142935739,0.578451444,0.669745575,0.396910913309361,0.484687599663471,0.746024825690639,"UGC"
"88","115",22.14,2.436085409,98.67,0.293253202,18.67,-0.21994689,52,-1.10178426,19,-0.610761311,130,-0.253507611,18,0.904086171,50.60377358,0.234823476,29,-0.089482551,-0.409809815,-0.474488071,-0.0668279116935892,-0.0816068772353121,-0.0226546393064114,"EAC"
"91","119",19.96,2.406085409,110.67,-1.074954822,30.67,-2.372277359,68,-2.048266832,26,-1.782380296,190,-2.356363166,20,-0.738283726,76.67924528,-1.847545109,36,-1.74326023,-1.819469827,-2.106627753,-1.7891585770614,-2.18483026635955,0.0458983470614012,"EPC"
"94","122",23.2,0.266085409,112,-1.219175723,72,-0.737758241,72,-0.968234398,30,-0.035776103,209,-1.564643231,27,0.013034742,82.8490566,-1.390540533,41,-1.74326023,-0.740236116,-0.857063922,-0.998200998785827,-1.21895274244112,-0.745059231214174,"EPC"
"98","126",24.91,1.846085409,126.67,0.437474103,72,0.011751027,72,-0.828317379,31,1.102549013,204,-0.006129261,20,0.591254207,79.96226415,0.234823476,40,0.14476127,0.180864191,0.209409092,0.168384264808713,0.205622376109495,-0.0236229948087127,"EAC"
"99","127",20.56,2.266085409,148.11,0.005351553,91.29,-0.21994689,76,-0.200995735,30,-0.610761311,205,-0.370349867,27,0.013034742,87.26415094,0.943056631,43,0.884210536,-0.256588096,-0.297084126,-0.223589611285328,-0.273036362716721,1.10780014728533,"UGC"
"106","134",21.17,2.016085409,121.33,0.005351553,68,-0.295729157,68,-0.368379615,25,-0.035776103,206,0.124662443,20,0.013034742,79.69811321,0.57602551,39,-0.089482551,-0.173633331,-0.20103702,0.0474723256998955,0.0579708110113822,-0.136954876699896,"EAC"
"107","136",23.14,2.936085409,167.2,-0.499151524,100.22,-0.065910865,75,-0.828317379,31,-0.035776103,222,-0.590963,25,-1.354899639,88.50943396,-0.081489395,45,-0.539616645,-0.357288968,-0.413678119,-0.565844110909812,-0.690980305257803,0.0262274659098129,"EAC"
"108","137",22.54,1.016085409,122.67,-0.931274074,73.33,0.907436919,73,0.965801985,28,1.567141763,210,0.19189094,19,0.591254207,84.41509434,0.57602551,41,0.385124145,0.627276648,0.72627662,0.38246404842046,0.46704581650021,0.00266009657954075,"EAC"
"109","138",20.36,1.616085409,125.33,1.013277401,70.67,0.410299723,70,1.189390714,27,-0.035776103,204,1.271509916,25,-0.503071129,79.37735849,1.220119996,37,1.40778337,0.644297934,0.74598429,0.775362546475641,0.94683365705693,0.63242082352436,"UGC"
"112","142",16.15,-3.063914591,137.33,1.085657929,68,0.656333036,69,-0.200995735,27,0.682542295,212,0.401106703,22,0.904086171,88,-0.555921765,39,1.142935739,0.555884381,0.643616864,0.453741754452409,0.554086558132423,0.689193984547591,"UGC"
