"","SubjectID","age.tested","age.tested.c","towre.w.ipm","towre.w.ipm.cs","towre.nw.ipm","towre.nw.ipm.t","wj3.wid.raw","wj3.wid.t","wj3.watt.raw","wj3.watt.t","ppvt.raw","ppvt.t","wasi.matr.raw","wasi.matr.t","ktea2.raw","ktea2.t","wj3.rcomp.raw","wj3.rcomp.t","decode","decode.cs","Pred","stdPred","resid","CI_group"
"73","97",20.24,-0.653914591,125.33,-0.642832272,74.67,-0.519754225,73,-0.828317379,29,-1.063496366,210,1.359219943,25,0.904086171,84.28301887,-0.728042869,37,0.14476127,-0.763600061,-0.884115282,0.824192090162441,0.921933075978974,-1.55223495916244,"UPC"
"74","98",22.16,3.886085409,106.67,-0.067028974,66.67,-0.143532136,63,0.346288694,28,1.102549013,190,0.330096252,17,1.232951274,69.01886792,0.661359501,35,1.142935739,0.309569149,0.358426917,0.684215913013474,0.765357116192614,-0.0228564120134728,"EAC"
"76","100",18.07,-2.983914591,133.33,-1.291016097,83.59,-1.154657797,66,-1.229160995,29,-1.41322975,193,-0.694976298,26,0.294292934,75.77358491,-0.728042869,38,-0.539616645,-1.27201616,-1.47277218,-0.799163926345213,-0.89393682086172,0.0711210573452114,"EAC"
"78","102",19.4,-0.733914591,113.33,-0.570991898,72,0.248971844,75,0.5444753,30,1.567141763,215,1.271509916,25,0.591254207,85.98113208,0.943056631,40,1.142935739,0.447399252,0.518010064,0.977425372726088,1.09333830204886,-0.0343687417260871,"EAC"
"79","103",20.91,-1.313914591,118.67,0.221412828,52,-0.295729157,73,0.346288694,29,-0.035776103,212,0.854960526,25,1.578007153,85.32075472,0.817785013,42,0.63160695,0.059049066,0.068368487,0.781549599640024,0.874233610132564,0.0362354133599757,"EAC"
"81","106",22.65,-0.093914591,121.33,1.549109364,69.33,1.342272337,69,1.663562087,31,0.682542295,193,1.820803717,16,0.013034742,73.75471698,1.393505539,35,0.63160695,1.309371521,1.516023153,1.44531378834564,1.61671363091347,-0.0518082493456342,"EAC"
"83","110",17.96,2.266085409,129.33,0.077191927,76,-0.44592234,71,0.346288694,30,-1.782380296,204,0.401106703,18,-0.738283726,78,1.071302565,43,-0.317608215,-0.451205504,-0.522417037,0.107587318983821,0.120346105109152,0.96371524601618,"UGC"
"84","111",23.55,-4.733914591,137.33,-0.138869348,70.67,-0.665955136,73,-1.350555732,28,-1.41322975,211,-0.694976298,17,-0.252693548,83.26415094,0.234823476,40,-0.539616645,-0.892152492,-1.032956507,-0.851532274177945,-0.952515533978094,1.08635575017794,"UGC"
"85","112",23.62,2.936085409,117.33,-0.138869348,65.33,0.090023366,70,-1.10178426,31,-0.851164447,204,-0.643481659,25,-0.738283726,81.71698113,-0.600697062,42,-0.539616645,-0.500448672,-0.579432011,-0.523889518239169,-0.5860176053801,-0.07680754376083,"EAC"
"86","113",19.64,-0.353914591,147.25,0.797216126,89.42,0.011751027,76,-0.528591259,30,-0.035776103,222,-0.069725257,21,0.294292934,87.41509434,-0.555921765,40,0.385124145,0.061149948,0.070800942,0.0383653077148325,0.0429150516717563,-0.594287072714832,"UPC"
"89","117",22.02,2.266085409,181.24,0.581154851,78.04,0.656333036,74,0.965801985,28,1.567141763,223,0.854960526,23,1.232951274,86.26415094,1.474234252,42,0.63160695,0.942607909,1.091375054,0.996154177438516,1.11428815675435,0.478080074561486,"UGC"
