"","X","SubjectID","age.tested","age.tested.c","towre.w.ipm","towre.w.ipm.cs","towre.nw.ipm","towre.nw.ipm.t","wj3.wid.raw","wj3.wid.t","wj3.watt.raw","wj3.watt.t","ppvt.raw","ppvt.t","wasi.matr.raw","wasi.matr.t","ktea2.raw","ktea2.t","wj3.rcomp.raw","wj3.rcomp.t","decode","decode.cs","rc.comp","Pred","stdPred","resid","CI_group"
"191",191,"18",22.19,4.616085409,122.67,-0.570991898,65.33,-1.959291977,67,-2.342834148,30,-2.240470752,186,-0.843462206,27,-0.503071129,75,-1.071407155,36,-2.095583175,-1.778397194,-2.059072829,-0.210490368151518,-0.784601145386577,-2.01107537419389,0.57411077723506,"EPC"
"192",192,"180",18.97,-0.663914591,117.33,1.189907494,66.67,0.011751027,60,1.663562087,26,0.304076256,167,1.448440159,19,1.232951274,61.09433962,1.390919042,33,1.678754225,0.792324216,0.917372829,-1.16825348715636,0.406282378930782,1.04219744568535,-1.57453586608714,"UPC"
"194",194,"182",17.53,1.436085409,130.67,0.149032301,81.73,0.011751027,75,-0.026231123,31,-0.851164447,218,0.473411677,25,-0.252693548,89,0.424839562,43,0.385124145,-0.179153061,-0.207427902,1.59411581654555,0.124846481267754,0.320631852303402,1.4692693352778,"UGC"
"196",196,"184",21.6,2.806085409,148.57,0.221412828,91.58,0.329039454,76,0.965801985,29,-0.035776103,222,0.775922446,26,-0.503071129,89.49056604,0.995927731,44,0.884210536,0.370119541,0.428533678,1.77398528936837,0.329743623908294,0.845961881412581,1.44424166546007,"UGC"
"197",197,"185",20.45,0.626085409,141.82,0.365093576,77.33,0.16949459,76,0.346288694,30,-0.339824306,211,0.330096252,22,1.232951274,87.22641509,0.388328868,44,-0.089482551,0.135263139,0.156611051,1.60673935702099,0.182163571405326,0.46758552985296,1.42457578561566,"UGC"
"200",200,"188",19.34,-2.633914591,132,0.005351553,66.67,-0.44592234,75,-0.200995735,31,0.682542295,222,-0.643481659,24,-0.252693548,87,-0.375618194,43,-0.089482551,0.010243943,0.011860694,1.44756336298399,0.0198087561773815,0.0513285791187131,1.42775460680661,"UGC"
"201",201,"189",22.95,-3.583914591,126.67,1.013277401,89.76,0.011751027,74,0.1561256,32,-0.339824306,223,0.935398336,25,0.294292934,88,1.474234252,46,0.385124145,0.210332431,0.243528158,1.95845030225646,0.125082459998976,0.321236871544492,1.83336784225748,"UGC"
"203",203,"190",21.63,3.436085409,122.67,0.725375752,87.06,0.248971844,69,1.421900249,30,-0.035776103,209,0.935398336,23,-1.842485352,80.16981132,0.935886698,41,0.63160695,0.590117936,0.683253331,0.719008313282768,0.546094427559749,1.40065763029086,0.172913885723017,"EAC"
"207",207,"195",22.13,4.746085409,130.67,0.005351553,60,0.410299723,69,1.421900249,29,0.682542295,195,2.427941224,21,-0.738283726,76.81132075,1.390919042,38,0.884210536,0.630023455,0.729456941,0.132553795620983,1.19955197452545,3.07603908141892,-1.06699817890446,"UPC"
"209",209,"20",20.4,5.346085409,113.13,-0.138869348,67.95,0.656333036,65,1.421900249,26,0.682542295,181,1.539189492,20,0.013034742,72.03773585,1.474234252,34,0.884210536,0.655476558,0.758927182,-0.593779230656004,0.73914547840522,1.89561579736558,-1.33292470906122,"UPC"
"210",210,"201",22.88,1.986085409,106.67,-0.426770997,62.67,-0.21994689,66,-0.368379615,25,-0.035776103,191,-0.482794231,16,-0.738283726,74.83018868,-0.125240424,38,-0.539616645,-0.262718401,-0.304181947,0.0243092795182935,-0.159243379013232,-0.407738161293388,0.183552658531526,"EAC"
"211",211,"202",22.84,-0.163914591,109.33,-0.642832272,28,0.410299723,58,-0.026231123,20,1.102549013,176,-1.02798239,20,-0.958524173,64.39622642,-0.560928585,29,-0.96528561,0.210946335,0.244238952,-1.45420163773143,-0.0342049181784534,-0.0871555634904592,-1.41999671955298,"UPC"
"212",212,"203",20.92,1.966085409,129.33,2.021743403,66.67,0.885899593,68,0.965801985,29,1.102549013,215,0.698266199,20,0.591254207,82.20754717,0.796805394,45,0.63160695,1.243998499,1.44033263,1.41159908716119,0.337038093140931,0.864663966199775,1.07456099402026,"UGC"
"214",214,"205",17.07,-3.553914591,88,-0.354930623,32,0.840408974,58,1.663562087,19,0.682542295,152,1.631487019,8,0.904086171,56.90566038,1.380584065,32,1.142935739,0.707895683,0.819619358,-1.41551336886082,0.309998933669903,0.795339024675712,-1.72551230253072,"UPC"
"215",215,"206",24.84,3.026085409,125.33,1.085657929,80,0.410299723,71,0.1561256,29,0.304076256,207,0.473411677,25,0.013034742,83.71698113,0.549385046,45,1.142935739,0.489039877,0.566222622,1.51006732314759,0.259868264600383,0.666810410258894,1.25019905854721,"UGC"
"216",216,"207",23.35,-3.043914591,147.52,-0.067028974,93.02,-0.065910865,76,-0.828317379,30,-0.339824306,220,-0.312486205,29,-1.163993086,89.26415094,-0.792009575,43,-1.366497347,-0.325270381,-0.376606197,1.61396517196668,-0.0849974342394844,-0.217381068819642,1.69896260620617,"UGC"
"217",217,"208",23.51,0.656085409,129.33,-0.354930623,107.63,-0.949487599,74,-1.576149195,26,-1.782380296,213,-2.67459557,21,-2.386736036,85.39622642,-1.970632947,42,-0.539616645,-1.165736928,-1.349719423,1.19505985807919,-1.13905063236685,-2.91983845850758,2.33411049044603,"EPC"
"218",218,"209",22.44,-1.283914591,113.33,2.23132284,64,0.739269791,67,0.965801985,27,1.102549013,197,0.330096252,22,0.904086171,77.01886792,0.900179758,37,1.40778337,1.259735907,1.458553796,0.020673971111905,0.202378231585,0.519413329322329,-0.181704260473095,"EAC"
"220",220,"210",24.1,0.966085409,77.33,0.581154851,4,-0.065910865,45,0.1561256,9,-0.339824306,148,0.935398336,6,0.591254207,46,0.688615638,26,0.385124145,0.08288632,0.095967858,-2.27166232109217,0.27952390489455,0.717204954344895,-2.55118622598672,"UPC"
"221",221,"212",19.04,1.366085409,129.33,0.653535379,101.67,0.329039454,76,0.5444753,32,0.682542295,224,0.19189094,23,0.904086171,87.98113208,0.3224949,44,0.63160695,0.552398107,0.639580369,1.66155021900243,0.174676281330721,0.448389077124767,1.48687393767171,"UGC"
