"","X","SubjectID","age.tested","age.tested.c","towre.w.ipm","towre.w.ipm.cs","towre.nw.ipm","towre.nw.ipm.t","wj3.wid.raw","wj3.wid.t","wj3.watt.raw","wj3.watt.t","ppvt.raw","ppvt.t","wasi.matr.raw","wasi.matr.t","ktea2.raw","ktea2.t","wj3.rcomp.raw","wj3.rcomp.t","decode","decode.cs","rc.comp","Pred","stdPred","resid","CI_group"
"56",56,"1093",19.17,1.326085409,128,1.255806183,80,0.656333036,76,0.965801985,31,1.102549013,223,0.473411677,24,0.591254207,90,0.234823476,44,0.63160695,0.995122554,1.152177826,1.8127874915229,0.632022085880499,0.775107291445103,-0.000415135880500462,"EAC"
"58",58,"1095",18.5,1.916085409,93.33,0.941437028,61.33,0.347785989,64,0.346288694,26,1.102549013,190,0.260363295,20,0.904086171,64,0.57602551,33,0.63160695,0.684515181,0.792548827,-1.0594931781136,0.493512162677244,0.605820498684488,0.138094787322755,"EAC"
"61",61,"1098",18.92,-0.533914591,128,0.221412828,74.67,0.491533654,73,1.189390714,32,1.567141763,209,1.017253918,24,0.591254207,80,0.817785013,40,0.884210536,0.86736974,1.004262416,0.575448434284602,0.845247759810641,1.03571165566012,0.0389627761893576,"EAC"
"63",63,"11",19.05,-0.813914591,148.57,1.013277401,81.33,0.573339531,74,1.421900249,31,0.682542295,214,1.917861794,26,2.317299631,84.35849057,1.758364907,41,1.678754225,0.922764869,1.068400285,0.987793835719944,1.58245702400946,1.93672863006486,0.0962972009905429,"EAC"
"65",65,"1102",23.75,1.926085409,145.12,0.149032301,77.33,-0.065910865,76,0.750905434,30,1.102549013,209,0.19189094,23,0.904086171,84,0.234823476,41,0.385124145,0.484143971,0.560554019,0.96372726447434,0.4025218010611,0.494612101958124,-0.0173976560611001,"EAC"
"66",66,"1103",14.17,1.426085409,108,0.941437028,64,2.212154605,64,0.965801985,31,1.102549013,197,0.330096252,24,1.578007153,75,0.943056631,39,0.884210536,1.305485658,1.511524003,0.160140846875529,0.799976830963777,0.980381537986644,0.0842337050362215,"EAC"
"69",69,"1108",16.25,2.496085409,100,0.509314477,77.33,0.248971844,68,0.965801985,30,1.567141763,214,0.935398336,25,-0.738283726,89,0.817785013,44,0.63160695,0.822807517,0.952667159,1.7370297279624,0.63166378081255,0.774669371082574,-5.68308125513829e-05,"EAC"
"72",72,"1118",21.83,2.566085409,134.67,0.005351553,76,0.573339531,75,1.421900249,32,1.102549013,219,0.698266199,26,0.013034742,89,0.874145527,47,-0.089482551,0.775785087,0.89822341,2.18515233603961,0.614667578218854,0.753896616613753,-0.704150129218855,"UPC"
"74",74,"112",23.62,2.936085409,117.33,-0.138869348,65.33,0.090023366,70,-1.10178426,31,-0.851164447,204,-0.643481659,25,-0.738283726,81.71698113,-0.600697062,42,-0.539616645,-0.500448672,-0.579432011,0.951611240483086,-0.538128974720532,-0.655051035939817,-0.0014876702794676,"EAC"
"76",76,"1125",16.75,0.516085409,94.67,0.077191927,46.67,0.656333036,60,0.5444753,22,-0.339824306,187,1.017253918,22,0.294292934,68,1.905187469,35,0.63160695,0.234543989,0.271560907,-0.668582372712867,0.637762119564058,0.782122759147021,-0.00615516956405831,"EAC"
"78",78,"1127",19,-3.103914591,108,0.221412828,72,-0.44592234,71,-0.828317379,32,-1.063496366,216,-1.114725156,23,-1.354899639,84,-0.728042869,42,-1.16894812,-0.529080814,-0.612583023,1.10018265471506,-0.97353583780452,-1.18720519278882,-0.19541228219548,"EPC"
