"","SubjectID","age.tested","age.tested.c","towre.w.ipm","towre.w.ipm.cs","towre.nw.ipm","towre.nw.ipm.t","wj3.wid.raw","wj3.wid.t","wj3.watt.raw","wj3.watt.t","ppvt.raw","ppvt.t","wasi.matr.raw","wasi.matr.t","wj3.rcomp.raw","wj3.rcomp.t","decode","Pred","stdPred","resid","CI_group"
"73","108",21.86,2.009564586,89.33,-1.533134614,21.33,-2.202354732,55,-1.772627754,26,-0.636451412,153,-1.863564532,20,-0.20641511,36,-0.285282158,-1.53614212800459,-1.38493919302881,-1.69130478233691,1.09965703502881,"EPC"
"74","110",17.96,-1.890435414,129.33,0.624175354,76,0.524401914,71,0.549087282,30,0.667255005,204,0.318808273,18,-0.685210621,43,1.357650474,0.591229888716801,0.191799850994061,0.23422833787462,1.16585062300594,"UGC"
"75","111",23.55,3.699564586,137.33,1.055637347,70.67,0.206837223,73,0.966039424,28,-0.06006099,211,0.816966741,17,-0.903974275,40,0.62731058,0.542113250979082,0.496996965061742,0.606938808613602,0.130313614938259,"EAC"
"76","112",23.62,3.769564586,117.33,-0.023017636,65.33,-0.101790656,70,0.352641611,31,1.09549979,204,0.318808273,25,1.236134677,42,1.109884717,0.330833277212512,0.503906728641563,0.615377096912616,0.605977988358439,"UGC"
"77","113",19.64,-0.210435414,147.25,1.590650219,89.42,1.363535662,76,1.654750487,30,0.667255005,222,1.728957879,21,0.053831952,40,0.62731058,1.31904784321384,1.26261111069117,1.54191622310739,-0.635300530691163,"UPC"
"79","115",22.14,2.289564586,98.67,-1.029402736,18.67,-2.296928754,52,-2.04413141,19,-1.784567601,130,-2.283342777,18,-0.685210621,29,-1.708854315,-1.78875762523654,-1.73961675855836,-2.12444138919146,0.030762443558362,"EPC"
"85","122",23.2,3.349564586,112,-0.31047919,72,0.285205615,72,0.753484457,30,0.667255005,209,0.668454285,27,1.913356464,41,0.866429766,0.348866471714945,0.786161027698291,0.960069519679777,0.0802687383017102,"EAC"
"87","124",20.42,0.569564586,151.13,1.799909286,77.33,0.605078838,73,0.966039424,32,1.571361153,213,0.97061074,23,0.616530895,44,1.609702791,1.23559717520699,0.942453711358011,1.15093606793605,0.667249079641992,"UGC"
"88","125",22.21,2.359564586,130.67,0.696445238,78.67,0.686930016,76,1.654750487,31,1.09549979,223,1.820310973,24,0.919173977,43,1.357650474,1.0334063827088,1.4055674214012,1.7164962286314,-0.0479169474012026,"EAC"
"91","128",19.22,-0.630435414,155.51,2.036134727,100.61,2.103623368,74,1.18696091,28,-0.06006099,215,1.129513136,22,0.328114835,41,0.866429766,1.31666450372194,0.984014179415029,1.20169022287287,-0.117584413415026,"EAC"
