"","SubjectID","age.tested","age.tested.c","towre.w.ipm","towre.w.ipm.cs","towre.nw.ipm","towre.nw.ipm.t","wj3.wid.raw","wj3.wid.t","wj3.watt.raw","wj3.watt.t","ppvt.raw","ppvt.t","wasi.matr.raw","wasi.matr.t","ktea2.raw","ktea2.t","decode","Pred","stdPred","resid","CI_group"
"54","293",18.69,-0.167378049,104,-1.006537292,58.67,-0.903109588,67,-0.599179205,28,-0.500519232,189,-0.969210435,25,0.973187769,72,-0.692274606,-0.752336329271827,-0.588989212462691,-0.712684777140937,-0.103285393537309,"EAC"
"56","295",17.94,-0.917378049,112,-0.562295321,50.67,-1.407452736,62,-1.403904167,21,-1.942887186,177,-1.51304664,16,-1.633201768,64,-1.304599579,-1.32913485257195,-1.38376033282846,-1.67436839841322,0.0791607538284626,"EPC"
"57","296",17.26,-1.597378049,141.82,1.093616628,83.18,0.794887604,75,1.3694923,31,0.921245944,210,0.531223067,26,1.374518222,83,0.536883506,1.04481061903125,0.620512762035298,0.750828691033258,-0.0836292560352976,"EAC"
"58","297",23.02,4.162621951,130.67,0.47445438,66.67,-0.372925298,70,0.027589687,27,-0.837180151,217,1.236625529,27,1.800243352,83,0.536883506,-0.177015345526545,1.06860494490445,1.29302618920995,-0.531721438904448,"UPC"
"59","298",24.41,5.552621951,145.12,1.276866441,98.33,1.944896648,74,1.067959269,31,0.921245944,222,1.818384733,23,0.241542026,85,0.817598584,1.3027420755053,1.6216404824957,1.96220654170973,-0.804041898495696,"UPC"
"60","300",23.7,4.842621951,152.2,1.670020586,74.67,0.181128122,75,1.3694923,31,0.921245944,217,1.236625529,25,0.973187769,88,1.275958382,1.03547173803747,1.29779610106987,1.57035053502073,-0.021837719069869,"EAC"
"61","301",24.39,5.532621951,109.33,-0.710561079,56,-1.074416991,64,-1.114400548,30,0.369301289,202,-0.138307159,24,0.595711907,74,-0.505028675,-0.632519332265284,0.149159433910577,0.180484897865347,-0.654188108910577,"UPC"
"64","306",21.26,2.402621951,138.67,0.918696351,80,0.562702975,73,0.783773445,30,0.369301289,206,0.179559915,21,-0.399119802,90,1.607696938,0.658618515006471,0.337917464878885,0.408884624672589,1.26977947312111,"UGC"
"66","308",24.19,5.332621951,105.33,-0.932682064,32,-2.46871581,57,-1.969711688,18,-2.144400689,194,-0.683194385,14,-1.992679382,59,-1.590746581,-1.87887756282526,-0.776467621090261,-0.93953614390468,-0.814278959909741,"UPC"
"67","309",18.08,-0.777378049,129.33,0.40004385,73.33,0.086732721,73,0.783773445,29,-0.101336301,199,-0.356145185,23,0.241542026,83,0.536883506,0.292303428755046,-0.13185531334336,-0.159546682101608,0.66873881934336,"UGC"
"68","310",21.71,2.852621951,137.33,0.844285821,81.82,0.695181963,73,0.783773445,30,0.369301289,207,0.264199038,23,0.241542026,83,0.536883506,0.673135629504895,0.490709328609501,0.593764810990603,0.0461741773904988,"EAC"
"69","312",20.94,2.082621951,156,1.881035522,75.71,0.254820356,73,0.783773445,28,-0.500519232,214,0.919531189,25,0.973187769,81,0.275033958,0.604777522736636,0.872730931002949,1.05601602845418,-0.597696973002949,"UPC"
"73","319",21.74,2.882621951,120,-0.118053349,68,-0.28242071,70,0.027589687,27,-0.837180151,199,-0.356145185,23,0.241542026,86,0.965302691,-0.302516130775108,-0.0760038511380352,-0.0919656703478727,1.04130654213803,"UGC"
"75","321",22.36,3.502621951,141.82,1.093616628,87,1.078137113,71,0.264334349,30,0.369301289,215,1.022684864,21,-0.399119802,81,0.275033958,0.701347344733671,0.858888631878976,1.03926666249565,-0.583854673878976,"UPC"
"76","322",17.25,-1.607378049,124,0.104067636,61.33,-0.729585333,64,-1.114400548,29,-0.101336301,206,0.179559915,22,-0.089879491,64,-1.304599579,-0.460313636534793,-0.115008365117108,-0.139161650785733,-1.18959121388289,"UPC"
"80","326",20.96,2.102621951,120,-0.118053349,77.33,0.370350842,74,1.067959269,29,-0.101336301,200,-0.285410125,21,-0.399119802,78,-0.084229987,0.304730115261281,-0.012839097980282,-0.0155354793193388,-0.071390889019718,"EAC"
"81","327",21.82,2.962621951,141.82,1.093616628,83.08,0.787535771,75,1.3694923,31,0.921245944,211,0.624749454,23,0.241542026,85,0.817598584,1.04297266078135,0.779160708832253,0.942794815711884,0.0384378751677475,"EAC"
"82","328",18.85,-0.007378049,137.33,0.844285821,88.5,1.190628056,75,1.3694923,32,1.565330264,211,0.624749454,21,-0.399119802,84,0.674828751,1.24243411029135,0.585624831991227,0.708613831882317,0.0892039190087738,"EAC"
"83","329",19.16,0.302621951,145.12,1.276866441,75.71,0.254820356,69,-0.194791532,28,-0.500519232,198,-0.425054729,16,-1.633201768,83,0.536883506,0.209094008212093,-0.362174225521951,-0.438235627680637,0.899057731521951,"UGC"
"85","332",21.83,2.972621951,118.67,-0.191908577,48,-1.56961764,67,-0.599179205,22,-1.838136047,204,0.016573106,23,0.241542026,83,0.536883506,-1.04971036729644,-0.0534633242727523,-0.0646913331887493,0.590346830272751,"UGC"
