"SubjectID","age.tested","age.tested.c","towre.w.ipm","towre.w.ipm.t","towre.nw.ipm","towre.nw.ipm.cs","wj3.wid.raw","wj3.wid.t","wj3.watt.raw","wj3.watt.t","ppvt.raw","ppvt.t","wasi.matr.raw","wasi.matr.t","nd.rcomp.raw","nd.rcomp.t","decode","Pred1","stdPred1","CDI.1","Pred2","stdPred2","CDI.2"
"112",23.62,2.323173653,117.33,-0.507830159,65.33,-0.537932924,70,-0.638991177,31,0.836122116,204,-0.451211828,25,0.888989635,34,0.288689496,-0.212158035996861,-0.277567534722591,-0.364122881342188,0.566257030722591,-0.0310022359844544,-0.0383335780484678,0.319691731984454
"113",19.64,-1.656826347,147.25,1.08747594,89.42,0.977600814,76,1.405698115,30,0.207905859,222,1.476230811,21,-0.511038042,35,0.524957176,0.919670181969992,1.03722136355147,1.36066356577017,-0.512264187551472,1.01855934004345,1.25942606259062,-0.493602164043452
"114",19.38,-1.916826347,133.33,0.380925609,68,-0.369959695,65,-1.429892483,28,-0.721307337,198,-0.870049359,22,-0.202170189,28,-0.803849062,-0.535058476448974,-0.585315632493908,-0.767837689747829,-0.218533429506092,-0.501349655447126,-0.619907743870608,-0.302499406552874
"117",22.02,0.723173653,181.24,2.612045816,78.04,0.261669974,74,0.537397232,28,-0.721307337,223,1.620810415,23,0.133421932,37,1.050590042,0.672451421256262,0.98383751258423,1.29063274731419,0.0667525294157708,0.898978150654835,1.1115665706726,0.151611891345166
"118",21.35,0.053173653,137.33,0.589750764,74.67,0.04965882,74,0.537397232,28,-0.721307337,216,0.7010734,19,-1.052836817,36,0.778669358,0.113874869758801,0.289613797945893,0.379925594368176,0.489055560054108,0.463058111777913,0.572561098367417,0.315611246222087
"119",19.96,-1.336826347,110.67,-0.906434554,30.67,-2.718439332,68,-1.02448031,26,-1.324314587,190,-1.303687962,20,-0.794239493,16,-1.777536936,-1.49341719569217,-1.23732192243771,-1.62316253604317,-0.540215013562288,-1.53819630149583,-1.90194565523012,-0.23934063450417
"120",21.58,0.283173653,137.33,0.589750764,83.92,0.631588545,71,-0.401870721,28,-0.721307337,200,-0.740297717,20,-0.794239493,33,0.069114204,0.0245403127783839,-0.354868622970393,-0.465529175182869,0.423982826970392,-0.151947953827781,-0.187880279176004,0.22106215782778
"121",19.65,-1.646826347,122.67,-0.201031834,62.67,-0.70527704,74,0.537397232,29,-0.305137928,212,0.26360814,23,0.133421932,34,0.288689496,-0.168512392498436,0.0747422068957383,0.0980494630749504,0.213947289104262,0.270711277341347,0.334728498129556,0.0179782186586529
"122",23.2,1.903173653,112,-0.825337643,72,-0.118314409,72,-0.129880221,30,0.207905859,209,-0.027772453,27,1.764047334,37,1.050590042,-0.21640660349451,-0.0420774345236119,-0.05519866256797,1.09266747652361,0.340869925855448,0.421478112981084,0.709720116144552
"123",21.53,0.233173653,108,-1.071605793,56,-1.124895555,72,-0.129880221,31,0.836122116,210,0.066058202,23,0.133421932,24,-1.273918852,-0.372564863256643,-0.133002012980003,-0.174476731341485,-1.14091683902,0.0343332201289114,0.042452266234782,-1.30825207212891
"124",20.42,-0.876826347,151.13,1.274895959,77.33,0.217002935,73,0.181522516,32,1.600516112,213,0.36752449,23,0.133421932,35,0.524957176,0.818484380467327,0.541488112244549,0.710343203041569,-0.0165309362445491,0.62549119341141,0.773406005863328,-0.100534017411411
"125",22.21,0.913173653,130.67,0.239278341,78.67,0.301304106,76,1.405698115,31,0.836122116,223,1.620810415,24,0.496791987,32,-0.134508775,0.695600669458384,1.01110335381044,1.32640103945433,-1.14561212881044,0.869521176106161,1.07514367412442,-1.00402995110616
"126",24.91,3.613173653,126.67,0.021890491,72,-0.118314409,72,-0.129880221,31,0.836122116,204,-0.451211828,20,-0.794239493,30,-0.496796993,0.152454494241462,-0.233822608295487,-0.306736744046352,-0.262974384704514,-0.0619009008129057,-0.0765390926936918,-0.434896092187095
"127",20.56,-0.736826347,148.11,1.129354012,91.29,1.095244985,76,1.405698115,30,0.207905859,205,-0.372321687,27,1.764047334,35,0.524957176,0.959550742719873,0.376956944771978,0.494505414818086,0.148000231228021,0.399439915125317,0.493898607369571,0.125517260874681
"128",19.22,-2.076826347,155.51,1.48191521,100.61,1.681578503,74,0.537397232,28,-0.721307337,215,0.586151095,22,-0.202170189,35,0.524957176,0.74489590200678,0.604719508727371,0.793292379010977,-0.079762332727371,0.70804800012294,0.875485668702868,-0.18309082412294
"130",20.24,-1.056826347,100,-1.586736014,74.67,0.04965882,71,-0.401870721,30,0.207905859,203,-0.52737387,21,-0.511038042,34,0.288689496,-0.43276051398793,-0.426355121434984,-0.559307685075294,0.715044617434984,-0.281184711417324,-0.347678667300597,0.569874207417324
"131",20.81,-0.486826347,138.67,0.658623928,76,0.133330878,76,1.405698115,30,0.207905859,216,0.7010734,26,1.3110607,37,1.050590042,0.601389694970998,0.64723370027084,0.849063994880545,0.40335634172916,0.536291213413479,0.663112206403531,0.514298828586521
"132",19.07,-2.226826347,140.6,0.756896159,68,-0.369959695,76,1.405698115,29,-0.305137928,218,0.942685733,25,0.888989635,35,0.524957176,0.371874162731806,0.656097428193242,0.860691745777681,-0.131140252193242,0.578280423837858,0.715030935019043,-0.0533232478378577
