"SubjectID","age.tested","age.tested.c","towre.w.ipm","towre.w.ipm.cs","towre.nw.ipm","towre.nw.ipm.t","wj3.wid.raw","wj3.wid.t","wj3.watt.raw","wj3.watt.t","ppvt.raw","ppvt.t","wasi.matr.raw","wasi.matr.t","gm.rcomp.raw","gm.rcomp.cs","decode","Pred1","stdPred1","CDI.1","Pred2","stdPred2","CDI.2"
"a1950019",24.08,3.764878049,112,-0.039939423,52,-0.442843314,63,-0.359418158,27,0.105336261,162,-1.330255436,9,-2.004789862,12,-2.013862267,-0.184216158485642,-1.04182549522368,-1.33142339652929,-0.972036771776319,-1.40966187038374,-1.76856314820863,-0.604200396616261
"a1950021",19.67,-0.645121951,110.6666667,-0.116862394,62.66666667,0.136635958,65,-0.018295839,29,0.683499613,200,0.580988589,17,-0.497145172,42,1.088483307,0.171244334513668,0.279223013665021,0.356839081882379,0.80926029333498,0.30003979511458,0.376430217576313,0.78844351188542
"a1950022",22.75,2.434878049,94.66666667,-1.03993807,48,-0.653559294,61,-0.683273436,19,-1.449419641,165,-1.21258895,8,-2.140876214,17,-1.496804671,-0.956547610241568,-1.19101121817388,-1.52207851379172,-0.305793452826124,-1.41036349388851,-1.7694434057374,-0.0864411771114879
"a1950023",18.42,-1.895121951,130.6666667,1.036982199,87.37864078,1.562956385,72,1.316709947,32,1.72048734,197,0.394040219,20,0.25194701,38,0.674837231,1.4092839677569,0.578553639571222,0.73937512121528,0.0962835914287791,0.598426588118497,0.750786577137264,0.0764106428815043
"a1950024",19.67,-0.645121951,121.3333333,0.498521385,70.66666667,0.586448117,70,0.912377121,29,0.683499613,192,0.09722606,22,0.804918561,34,0.261191154,0.670211559001022,0.329110039581225,0.420593284280842,-0.0679188855812248,0.290820019612001,0.364863078299242,-0.0296288656120004
"a1950025",19.67,-0.645121951,108,-0.270708341,53.33333333,-0.37177107,67,0.340448985,27,0.105336261,213,1.471729267,22,0.804918561,41,0.985071788,-0.0491735412506284,0.902796094296252,1.15374777031721,0.0822756937037487,0.936825900676227,1.17534268249202,0.0482458873237749
"a1950026",20.83,0.514878049,104,-0.50147726,53.33333333,-0.37177107,51,-2.056259225,20,-1.312620503,142,-1.991004237,10,-1.856705286,19,-1.289981633,-1.06053201445797,-1.60750583702727,-2.05434680881599,0.317524204027268,-1.57091379201727,-1.97086996530071,0.280932159017265
"a1950028",23.5,3.184878049,93.33333333,-1.116861043,20,-1.999267713,58,-1.137467559,20,-1.312620503,192,0.09722606,16,-0.72507002,30,-0.152454923,-1.39155420449244,-0.370251948215222,-0.473171475211131,0.217797025215222,-0.546173058668909,-0.6852292485379,0.393718135668909
"a1950029",19.5,-0.815121951,122.6666667,0.575444362,90.8607864,1.772143808,68,0.526539925,31,1.351039833,185,-0.288397908,13,-1.342148869,34,0.261191154,1.05629198202106,-0.106571691093972,-0.136195594764298,0.367762845093973,-0.056065296358593,-0.0703395751580013,0.317256450358593
"a1950030",19.42,-0.895121951,116,0.190829496,70.66666667,0.586448117,66,0.158851687,25,-0.390302432,189,-0.072232191,19,-0.008547455,32,0.054368116,0.136456717010836,-0.0128649444008717,-0.0164410336323437,0.0672330604008719,-0.0319063099457872,-0.0400296874007984,0.0862744259457875
"a1950031",19.75,-0.565121951,82.66666667,-1.732244825,22.66666667,-1.883162017,58,-1.137467559,22,-0.993827275,178,-0.640717839,9,-2.004789862,21,-1.083158595,-1.43667541899334,-0.99272166125446,-1.2686700911975,-0.0904369337455403,-1.17520993732377,-1.47441952586939,0.0920513423237646
"a1950032",24.25,3.934878049,108,-0.270708341,52,-0.442843314,63,-0.359418158,23,-0.810192496,180,-0.543351331,20,0.25194701,21,-1.083158595,-0.470790577240334,-0.348150427304098,-0.4449263591393,-0.735008167695902,-0.222097849075471,-0.278644176638424,-0.861060745924529
"a1950033",19.33,-0.985121951,134.6666667,1.267751118,71.15821347,0.6144797,68,0.526539925,29,0.683499613,163,-1.291604706,18,-0.258273678,26,-0.566100999,0.773067589012967,-0.559680484129603,-0.715255764601635,-0.00642051487039751,-0.725146093972647,-0.909768992007718,0.159045094972647
"a1950034",24.92,4.604878049,97.33333333,-0.886092124,34.66666667,-1.325941087,61,-0.683273436,21,-1.161028857,163,-1.291604706,19,-0.008547455,29,-0.255866442,-1.01408387599487,-0.919518150733165,-1.17511808362961,0.663651708733164,-0.55603036938932,-0.697596240116866,0.300163927389318
"a1950035",18.17,-2.145121951,104,-0.50147726,32,-1.454163167,64,-0.191037682,23,-0.810192496,187,-0.181694823,21,0.523128096,33,0.157779635,-0.739217651252721,-0.210818002809162,-0.269419420685431,0.368597637809162,-0.201321991864154,-0.25257876605477,0.359101626864154
"a1950036",22,1.684878049,117.3333333,0.267752467,65.33333333,0.285202635,66,0.158851687,27,0.105336261,167,-1.131254935,24,1.400038076,22,-0.979747076,0.20428576251082,-0.348227603539131,-0.445024988175973,-0.631519472460869,-0.186862395400669,-0.23443774232414,-0.792884680599331
"a1950037",20.17,-0.145121951,122.6666667,0.575444362,64,0.210743533,74,1.739881792,28,0.383675823,210,1.254197846,20,0.25194701,42,1.088483307,0.727436377480324,0.891992322414747,1.1399408566648,0.196490984585254,1.00088331698827,1.25570917905189,0.0875999900117298
"a1950038",23.58,3.264878049,121.3333333,0.498521385,53.33333333,-0.37177107,64,-0.191037682,20,-1.312620503,171,-0.961475138,5,-2.475009193,20,-1.186570114,-0.344226967491408,-0.952484242232652,-1.21724781237461,-0.234085871767348,-1.31136679745543,-1.64524205449072,0.124796683455426
"a1950039",18,-2.315121951,145.0023463,1.864039519,71.18412047,0.615958331,66,0.158851687,29,0.683499613,187,-0.181694823,15,-0.941950193,18,-1.393393152,0.830587287523481,-0.0521064905995406,-0.0665906152686774,-1.34128666140046,-0.0185890119193257,-0.0233217923958445,-1.37480414008067
"a1950040",21.75,1.434878049,112,-0.039939423,37.33333333,-1.195486485,53,-1.813269066,20,-1.312620503,145,-1.904798469,12,-1.525232666,16,-1.60021619,-1.09032886921704,-1.51349671783347,-1.93420582421511,-0.08671947216653,-1.47297373556733,-1.84799427560049,-0.127242454432668
"a1950041",20.92,0.604878049,117.3333333,0.267752467,54.66666667,-0.300295314,61,-0.683273436,31,1.351039833,185,-0.288397908,19,-0.008547455,35,0.364602673,0.158805887528469,-0.116288776815373,-0.14861375436447,0.480891449815373,-0.127989657251962,-0.160575948010591,0.492592330251963
"a1950043",20.33,0.014878049,105.3333333,-0.424554289,41.33333333,-0.995878609,66,0.158851687,24,-0.609295646,187,-0.181694823,19,-0.008547455,23,-0.876335556,-0.467719214255231,-0.212055569890712,-0.271000996270461,-0.664279986109288,-0.224078466242848,-0.281129060855311,-0.652257089757152
"a1950044",19.42,-0.895121951,113.3333333,0.036983548,62.66666667,0.136635958,70,0.912377121,29,0.683499613,188,-0.127311021,18,-0.258273678,33,0.157779635,0.442374059995283,-0.00635247831452364,-0.00811828691900847,0.164132113314524,-0.0221732830177521,-0.0278186223881452,0.179952918017752
"a1950045",21.83,1.514878049,110.6666667,-0.116862394,60,-0.010501799,63,-0.359418158,27,0.105336261,181,-0.493689322,15,-0.941950193,40,0.881660269,-0.0953615224826926,-0.421761545907957,-0.538999278261209,1.30342181490796,-0.483832282060797,-0.607016449813564,1.3654925510608
"a1950047",18.17,-2.145121951,85.33333333,-1.57839888,48,-0.653559294,64,-0.191037682,24,-0.609295646,158,-1.47925726,16,-0.72507002,21,-1.083158595,-0.758072875501087,-1.10470993358781,-1.41178792292769,0.0215513385878113,-1.09943515099496,-1.37935240553546,0.0162765559949614
"a1950048",24,3.684878049,65.33333333,-2.732243473,16,-2.167014402,59,-0.990220912,18,-1.572237635,202,0.709400008,20,0.25194701,18,-1.393393152,-1.86542910550573,-0.0040182675324497,-0.00513523182787147,-1.38937488446755,-0.348698990366653,-0.437478091145513,-1.04469416163335
"a1950049",18.75,-1.565121951,85.33333333,-1.57839888,33.33333333,-1.39033936,64,-0.191037682,26,-0.152373326,191,0.040031179,17,-0.497145172,20,-1.186570114,-0.828037312004986,-0.259519830565438,-0.331658973493492,-0.927050283434563,-0.338147150660908,-0.42423974282873,-0.848422963339092
"a1950051",21.83,1.514878049,117.3333333,0.267752467,68,0.435153811,66,0.158851687,28,0.383675823,173,-0.872950396,21,0.523128096,25,-0.669512518,0.311358447013055,-0.313126995332554,-0.40016740769663,-0.356385522667446,-0.288537979737688,-0.362000028930234,-0.380974538262312
"a1950052",19.75,-0.565121951,132,1.11390517,80,1.126019182,74,1.739881792,29,0.683499613,214,1.545886673,25,1.713231029,44,1.295306345,1.16582643924119,1.36955609411656,1.75025379475,-0.0742497491165619,1.2818176756543,1.60816969758571,0.0134886693456998
"a1950053",23.75,3.434878049,94.66666667,-1.03993807,34.66666667,-1.325941087,62,-0.523481815,21,-1.161028857,196,0.333214708,21,0.523128096,41,0.985071788,-1.01259745724891,0.0350854920530276,0.0448382624297523,0.949986295946972,-0.0358607740936619,-0.0449909619515566,1.02093256209366
"a1950054",19.58,-0.735121951,89.33333333,-1.347629961,70.66666667,0.586448117,69,0.717168158,30,1.005666497,201,0.644812863,20,0.25194701,34,0.261191154,0.240413202747186,0.440893877839579,0.563449855068825,-0.179702723839579,0.462817108373112,0.580650792478824,-0.201625954373111
"a1950055",22.42,2.104878049,97.33333333,-0.886092124,60,-0.010501799,64,-0.191037682,27,0.105336261,168,-1.089706337,26,2.036760571,26,-0.566100999,-0.245573835989949,-0.336908623544082,-0.430559653185657,-0.229192375455918,0.0495050236015168,0.0621090505337957,-0.615606022601517
